family,model_name,distance,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,split
Distance-based functional,centroid,cosine,centroid + cosine,0.5635161972515224,0.7822299651567945,0.3165829145728643,0.7767857142857143,0.4027777777777778,0.7139689578713969,0.7264653641207816,0.5304878048780488,0.4907546721571112,rep5_fold3
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5999283170025211,0.8039475768134305,0.33668341708542715,0.7767857142857143,0.435,0.7494456762749445,0.7548845470692718,0.5576923076923077,0.5262313905606588,rep5_fold3
Distance-based functional,centroid,correlation,centroid + correlation,0.3457076725041724,0.6872426354133672,0.4221105527638191,0.7053571428571429,0.2958801498127341,0.5831485587583148,0.6074600355239786,0.41688654353562005,0.28850570161545774,rep5_fold3
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7812245075961111,0.8767718561925878,0.36683417085427134,0.7053571428571429,0.7247706422018348,0.9334811529933481,0.8880994671403197,0.7149321266968326,0.638838295850491,rep5_fold4
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7804536344223355,0.8765144916059548,0.33668341708542715,0.7053571428571429,0.7247706422018348,0.9334811529933481,0.8880994671403197,0.7149321266968326,0.638838295850491,rep5_fold4
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8694056461888179,0.9253246753246753,0.21608040201005024,0.8482142857142857,0.753968253968254,0.9312638580931264,0.9147424511545293,0.7983193277310925,0.7794781438074121,rep5_fold4
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5607977613633109,0.7408932530883751,0.3869346733668342,0.48214285714285715,0.6585365853658537,0.9379157427937915,0.8472468916518651,0.5567010309278351,0.4200585999366486,rep5_fold4
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5595848023724997,0.7999287298067786,0.36180904522613067,0.7321428571428571,0.44808743169398907,0.7760532150776053,0.7673179396092362,0.5559322033898305,0.5081960722204624,rep5_fold4
Distance-based functional,centroid,cosine,centroid + cosine,0.5598114780977265,0.799889135254989,0.32160804020100503,0.7321428571428571,0.44808743169398907,0.7760532150776053,0.7673179396092362,0.5559322033898305,0.5081960722204624,rep5_fold4
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.6019998439130778,0.8131137155527398,0.3417085427135678,0.7232142857142857,0.47093023255813954,0.7982261640798226,0.783303730017762,0.5704225352112676,0.5214404497941083,rep5_fold4
Distance-based functional,centroid,correlation,centroid + correlation,0.42348728806314645,0.7226203674374405,0.3969849246231156,0.7767857142857143,0.3096085409252669,0.5698447893569845,0.61101243339254,0.44274809160305345,0.3466305036426989,rep5_fold4
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.6831715344787073,0.8166507215179781,0.35678391959798994,0.6576576576576577,0.6347826086956522,0.9070796460176991,0.8579040852575488,0.6460176991150443,0.5647373036753569,rep6_fold0
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.6831279382118434,0.8165909272103963,0.3165829145728643,0.6666666666666666,0.6379310344827587,0.9070796460176991,0.8596802841918295,0.6519823788546255,0.5737463126843658,rep6_fold0
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7568137521082102,0.8609483377182492,0.38190954773869346,0.7387387387387387,0.7256637168141593,0.9314159292035398,0.8934280639431617,0.7321428571428571,0.6701546679422785,rep6_fold0
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.4934994392089094,0.7038587259826197,0.21608040201005024,0.3963963963963964,0.3793103448275862,0.8407079646017699,0.7531083481349912,0.3876651982378855,0.23710436099816623,rep6_fold0
Distance-based functional,centroid,euclidean,centroid + euclidean,0.47644342163634057,0.722753727178506,0.38190954773869346,0.6576576576576577,0.35609756097560974,0.7079646017699115,0.6980461811722913,0.4620253164556962,0.3656222594275693,rep6_fold0
Distance-based functional,centroid,cosine,centroid + cosine,0.4755895309772326,0.7226142071274815,0.3165829145728643,0.6666666666666666,0.3592233009708738,0.7079646017699115,0.6998223801065719,0.4668769716088328,0.37463126843657824,rep6_fold0
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5048087005915963,0.7407318823248028,0.3417085427135678,0.6936936936936937,0.375609756097561,0.7168141592920354,0.7122557726465364,0.4873417721518987,0.4105078529857291,rep6_fold0
Distance-based functional,centroid,correlation,centroid + correlation,0.33492462950689605,0.6438053097345132,0.4723618090452261,0.6576576576576577,0.27137546468401486,0.5663716814159292,0.5843694493783304,0.38421052631578945,0.2240293390735868,rep6_fold0
