method_family,J,classifier,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
FPLS,2,centroid,0.6523763991655058,0.045274665731179595,0.8499863180194499,0.022616047506962136,0.7227557915057915,0.04966569468438108,0.4900807087067689,0.06320590516261146,0.8075798128053687,0.050365678118761935,0.7907637655417407,0.0376617775358132,0.5806436619951093,0.043478976687674746,0.5303356043111601,0.05535401111354767,0.35336683417085424,0.05170136196912675
FPLS,2,knn,0.5969442448629722,0.04775476730134891,0.8465591407843998,0.02191731282610569,0.7194868082368082,0.059619989846984384,0.5488842012994509,0.04429631118197169,0.8512570884759532,0.03772313180404665,0.8251509769094139,0.026868369188893515,0.6207370946339317,0.038398972216538436,0.5707438967127614,0.05381174155837688,0.19316582914572866,0.03879395922193036
FPLS,2,linear_svm,0.6660710257495011,0.04549884304663864,0.8641390547148156,0.018535722688765677,0.743354247104247,0.042154908527461774,0.5276743817676582,0.040601719258023646,0.8335872103290624,0.027472388947470547,0.8157015985790409,0.02134022913570175,0.6159453326394373,0.031694474864531696,0.5769414574333094,0.04371948142972706,0.277286432160804,0.008535773300288494
FPLS,2,lr,0.6649983089258218,0.04610760708630562,0.8660776214901511,0.018550851795178926,0.7516055341055341,0.04171825574161903,0.5330788936453007,0.0413634176547749,0.8351380413240979,0.03025291412079354,0.8185790408525755,0.02295778401826705,0.6224515415400769,0.032569366028047636,0.586743575429632,0.04295088384652332,0.26090452261306535,0.007853435366074576
FPLS,2,weighted_knn,0.6220900017559139,0.04882088719130823,0.8432817911578974,0.020979172367866953,0.7616698841698841,0.062350420746987475,0.4821399867423461,0.04579290840243876,0.7927417930655574,0.051060792694238355,0.7865719360568383,0.03361752818462862,0.5874415792989534,0.03325757957551801,0.5544116772354415,0.04579397683380532,0.20060301507537687,0.061199346121159105
FPLS,3,centroid,0.6554615180107439,0.04503092308256627,0.8513762502414564,0.022630836092236012,0.7240090090090091,0.050500261104631905,0.49533999420147623,0.0644528849805858,0.8109470596314974,0.0517921891740785,0.7937122557726465,0.03859060340525543,0.5846907336299046,0.044648320720433066,0.5349560686405064,0.05596199976802726,0.3515577889447236,0.051004103145417076
FPLS,3,knn,0.7208756570033964,0.039217917710261924,0.8763994490249076,0.019513519845399743,0.7447828185328186,0.046125183966105564,0.6512902133635261,0.030772494717470927,0.9011096285540491,0.012521284801647358,0.8701243339253996,0.012971390609140591,0.6942456690336247,0.031617049532660056,0.6458924470868674,0.04675781926258845,0.20100502512562815,0.0
FPLS,3,linear_svm,0.7832444037826833,0.040636037092803876,0.9065607529926006,0.016527689214730596,0.7650305662805663,0.03701888704743784,0.7022664813576482,0.037286174590678435,0.9193172497694405,0.013738174804268989,0.8887388987566608,0.014071903328074956,0.7317410453453452,0.03149082843867663,0.6843478160500068,0.041294011402708816,0.2451256281407035,0.011226887063754973
FPLS,3,lr,0.7832741834163254,0.04053346152281022,0.9072276234814006,0.016549030345891516,0.7662966537966538,0.042240123581286586,0.7057566923499324,0.038290254323903365,0.92046906579283,0.014198179474534204,0.889911190053286,0.014198213808655323,0.7340316055001571,0.032783663220241885,0.6867657195894838,0.04470739752869032,0.23728643216080403,0.010805868291905465
FPLS,3,weighted_knn,0.7522116554726368,0.03872404838775907,0.8775421367726569,0.019366600270960082,0.7623455598455599,0.0442646276008257,0.6135843587146593,0.0387304322490574,0.8800176598708868,0.022039080505782717,0.856696269982238,0.016974002505245864,0.6786749173826876,0.03033150420893242,0.6423632197164466,0.04256836080733477,0.2663316582914573,0.03855196434198865
FPLS,5,centroid,0.6567496997804557,0.04518371942217647,0.8517692666527116,0.02262230083182219,0.7279681467181467,0.0520081290677989,0.4917354545682355,0.06023303450326653,0.8082485332496125,0.04816382976052084,0.7923268206039076,0.03662490945977435,0.583905013079368,0.044019137194508035,0.5362166799677592,0.0584854292585389,0.35195979899497487,0.05141669766247302
FPLS,5,knn,0.768452723705805,0.03386639481448836,0.8928483377649684,0.016035652837737332,0.7766698841698841,0.03460366777542582,0.7201374168521164,0.03268379728432436,0.9249443714067068,0.012006387898928435,0.8955595026642985,0.011364727569935897,0.7467433566043478,0.02633460685860618,0.701614255576591,0.03574288478458701,0.20100502512562815,0.0
FPLS,5,linear_svm,0.8700019146256034,0.03043581488345652,0.9319230374278399,0.01451284567833592,0.828315637065637,0.0337411691165277,0.7968444997531589,0.04327101222667595,0.9470076329886388,0.01444905699598189,0.9234813499111901,0.012147042539898279,0.8113134388498884,0.027212049742220572,0.7753232700542759,0.03389216216291697,0.19889447236180907,0.019049813430494663
