split,method_family,J,classifier,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j
rep4_fold4,FPLS,15,linear_svm,0.8832941232366385,0.9404497941083305,0.22110552763819097,0.8303571428571429,0.788135593220339,0.9445676274944568,0.9218472468916519,0.808695652173913,0.7749247703515998
rep5_fold0,FPCA,1,centroid,0.2797955369714112,0.641393605995376,0.010050251256281407,0.8648648648648649,0.2659279778393352,0.413716814159292,0.5026642984014209,0.4067796610169492,0.27858167902415687
rep5_fold0,FPCA,1,knn,0.22280195793758684,0.5621960456031252,0.005025125628140704,0.7027027027027027,0.22096317280453256,0.3915929203539823,0.45293072824156305,0.33620689655172414,0.09429562305668515
rep5_fold0,FPCA,1,weighted_knn,0.24439265549811925,0.5732181296340588,0.03015075376884422,0.6666666666666666,0.21764705882352942,0.41150442477876104,0.46181172291296624,0.328159645232816,0.07817109144542767
rep5_fold0,FPCA,1,lr,0.2797955369714112,0.641393605995376,0.010050251256281407,0.8648648648648649,0.2659279778393352,0.413716814159292,0.5026642984014209,0.4067796610169492,0.27858167902415687
rep5_fold0,FPCA,1,linear_svm,0.2797955369714112,0.641393605995376,0.010050251256281407,0.8648648648648649,0.2659279778393352,0.413716814159292,0.5026642984014209,0.4067796610169492,0.27858167902415687
rep5_fold0,FPLS,1,centroid,0.43374670215028366,0.6585944351431077,0.22613065326633167,0.42342342342342343,0.38524590163934425,0.834070796460177,0.7531083481349912,0.4034334763948498,0.25749421988360055
rep5_fold0,FPLS,1,knn,0.3092665590444664,0.5963286295144702,0.20100502512562815,0.3963963963963964,0.26666666666666666,0.7323008849557522,0.6660746003552398,0.3188405797101449,0.12869728135214853
rep5_fold0,FPLS,1,weighted_knn,0.3150731007866533,0.6083273539025751,0.17587939698492464,0.5225225225225225,0.27358490566037735,0.6592920353982301,0.6323268206039077,0.3591331269349845,0.18181455792075263
rep5_fold0,FPLS,1,lr,0.43374670215028366,0.6585944351431077,0.22613065326633167,0.42342342342342343,0.38524590163934425,0.834070796460177,0.7531083481349912,0.4034334763948498,0.25749421988360055
rep5_fold0,FPLS,1,linear_svm,0.43374670215028366,0.6585944351431077,0.22613065326633167,0.42342342342342343,0.38524590163934425,0.834070796460177,0.7531083481349912,0.4034334763948498,0.25749421988360055
rep5_fold0,FPCA,2,centroid,0.28320628761570094,0.6472135852666825,0.08542713567839195,0.8828828828828829,0.2641509433962264,0.39601769911504425,0.4920071047957371,0.4066390041493776,0.2789005819979271
rep5_fold0,FPCA,2,knn,0.29512682077823116,0.6467252650880969,0.005025125628140704,0.7387387387387387,0.2611464968152866,0.48672566371681414,0.5364120781527532,0.38588235294117645,0.225464402455553
rep5_fold0,FPCA,2,weighted_knn,0.30925873320755615,0.6524057243083792,0.1306532663316583,0.6666666666666666,0.27611940298507465,0.5707964601769911,0.5896980461811723,0.39050131926121373,0.23746312684365778
rep5_fold0,FPCA,2,lr,0.3685950432932226,0.720760583592442,0.38190954773869346,0.6036036036036037,0.3471502590673575,0.7212389380530974,0.6980461811722913,0.4407894736842105,0.3248425416567011
rep5_fold0,FPCA,2,linear_svm,0.37437750570299194,0.7233915331260464,0.35175879396984927,0.6126126126126126,0.3417085427135678,0.7101769911504425,0.6909413854351687,0.43870967741935485,0.3227896037630551
rep5_fold0,FPLS,2,centroid,0.6239322549599366,0.8493582077652875,0.32160804020100503,0.7567567567567568,0.5060240963855421,0.8185840707964602,0.8063943161634103,0.6064981949458483,0.575340827553217
rep5_fold0,FPLS,2,knn,0.587507126937394,0.8526369289643625,0.20100502512562815,0.6936936936936937,0.5620437956204379,0.8672566371681416,0.8330373001776199,0.6209677419354839,0.5609503308618353
rep5_fold0,FPLS,2,weighted_knn,0.6104478466516339,0.8506338196603683,0.23618090452261306,0.7027027027027027,0.5234899328859061,0.8429203539823009,0.8152753108348135,0.6,0.5456230566850038
rep5_fold0,FPLS,2,lr,0.6233263758006771,0.8553775013952005,0.2562814070351759,0.7207207207207207,0.5405405405405406,0.8495575221238938,0.8241563055062167,0.6177606177606177,0.5702782428446145
rep5_fold0,FPLS,2,linear_svm,0.6248709484483563,0.8539823008849556,0.271356783919598,0.7117117117117117,0.5337837837837838,0.8473451327433629,0.8206039076376554,0.61003861003861,0.5590568444550745
rep5_fold0,FPCA,3,centroid,0.28764969162775206,0.6546081479709799,0.07537688442211056,0.9009009009009009,0.26881720430107525,0.39823008849557523,0.49733570159857904,0.4140786749482402,0.2991309893964762
rep5_fold0,FPCA,3,knn,0.5310420815710776,0.8047715857450372,0.20100502512562815,0.6666666666666666,0.5211267605633803,0.8495575221238938,0.8134991119005328,0.5849802371541502,0.5162241887905603
rep5_fold0,FPCA,3,weighted_knn,0.5682493120358418,0.8108706051183928,0.19095477386934673,0.7567567567567568,0.4692737430167598,0.7898230088495575,0.783303730017762,0.5793103448275863,0.5465797656063143
rep5_fold0,FPCA,3,lr,0.5063354549967978,0.7930917643307024,0.3768844221105528,0.7207207207207207,0.38461538461538464,0.7168141592920354,0.7175843694493783,0.5015673981191222,0.4375348800127561
rep5_fold0,FPCA,3,linear_svm,0.569550760071021,0.8304632065694013,0.2763819095477387,0.6216216216216216,0.5,0.8473451327433629,0.8028419182948491,0.5542168674698795,0.4689667543649845
rep5_fold0,FPLS,3,centroid,0.628135272581969,0.8508929283265566,0.3165829145728643,0.7657657657657657,0.49707602339181284,0.8097345132743363,0.8010657193605684,0.6028368794326241,0.575500279040102
rep5_fold0,FPLS,3,knn,0.7074652042036873,0.8848660607510165,0.20100502512562815,0.7567567567567568,0.6666666666666666,0.9070796460176991,0.8774422735346359,0.7088607594936709,0.6638364027744559
rep5_fold0,FPLS,3,weighted_knn,0.7386593278643837,0.885942358287491,0.2663316582914573,0.7657657657657657,0.625,0.8871681415929203,0.8632326820603907,0.6882591093117408,0.652933907358686
rep5_fold0,FPLS,3,lr,0.7589104177441711,0.9089332695527386,0.22613065326633167,0.7927927927927928,0.6929133858267716,0.9137168141592921,0.8898756660746003,0.7394957983193278,0.7065096069520849
rep5_fold0,FPLS,3,linear_svm,0.7586457547108322,0.9082157378617556,0.23115577889447236,0.8018018018018018,0.6846153846153846,0.9092920353982301,0.8880994671403197,0.7385892116182573,0.7110938372000319
