wavelength,beta_logreg,beta_svm,abs_beta_logreg,abs_beta_svm
632.0,-0.034570604576923215,-0.014068557503606215,0.034570604576923215,0.014068557503606215
634.0,-0.031271105877317094,-0.012654382649209673,0.031271105877317094,0.012654382649209673
636.0,-0.030541357947285207,-0.012631804267448324,0.030541357947285207,0.012631804267448324
638.0,-0.03184479774981232,-0.01317113726059182,0.03184479774981232,0.01317113726059182
640.0,-0.02923371409488997,-0.011177072546151696,0.02923371409488997,0.011177072546151696
642.0,-0.022795458735389285,-0.007226076503224297,0.022795458735389285,0.007226076503224297
644.0,-0.017825924116032676,-0.004905505780758428,0.017825924116032676,0.004905505780758428
646.0,-0.018011256866315006,-0.006036409566353807,0.018011256866315006,0.006036409566353807
648.0,-0.0189946249361583,-0.007701309635628949,0.0189946249361583,0.007701309635628949
650.0,-0.015336189182215446,-0.006735135237084466,0.015336189182215446,0.006735135237084466
652.0,-0.0055792623963865015,-0.0022221065348001666,0.0055792623963865015,0.0022221065348001666
654.0,0.006593882612748841,0.003942106039222433,0.006593882612748841,0.003942106039222433
656.0,0.014225651942309313,0.008088538724404307,0.014225651942309313,0.008088538724404307
658.0,0.011602329035528556,0.007125371974272503,0.011602329035528556,0.007125371974272503
660.0,-0.0012024374392859373,0.000902301209684616,0.0012024374392859373,0.000902301209684616
662.0,-0.018137064696221943,-0.007634927148067647,0.018137064696221943,0.007634927148067647
664.0,-0.03138015579759607,-0.014528914961368067,0.03138015579759607,0.014528914961368067
666.0,-0.03664345124133977,-0.017490688401500067,0.03664345124133977,0.017490688401500067
668.0,-0.03495480829339369,-0.016861586805230325,0.03495480829339369,0.016861586805230325
670.0,-0.03065648289493518,-0.014673540944584677,0.03065648289493518,0.014673540944584677
672.0,-0.028339778051827098,-0.013173203041271616,0.028339778051827098,0.013173203041271616
674.0,-0.030077147535358083,-0.013492032182219206,0.030077147535358083,0.013492032182219206
676.0,-0.034307864992555254,-0.015081045107160303,0.034307864992555254,0.015081045107160303
678.0,-0.03738359966110573,-0.016377075701268857,0.03738359966110573,0.016377075701268857
680.0,-0.0364787913201818,-0.016123573272934028,0.0364787913201818,0.016123573272934028
682.0,-0.031521254863770616,-0.014259684905516644,0.031521254863770616,0.014259684905516644
684.0,-0.025321581919893425,-0.011973385267562016,0.025321581919893425,0.011973385267562016
686.0,-0.021822835636941162,-0.010909723197980255,0.021822835636941162,0.010909723197980255
688.0,-0.023293452216692108,-0.011939870455284652,0.023293452216692108,0.011939870455284652
690.0,-0.028635707748129725,-0.014455107578088669,0.028635707748129725,0.014455107578088669
692.0,-0.03406643684936104,-0.01672834126083348,0.03406643684936104,0.01672834126083348
694.0,-0.035547639084264226,-0.017022115596825572,0.035547639084264226,0.017022115596825572
696.0,-0.031035856527592918,-0.014552360791668283,0.031035856527592918,0.014552360791668283
698.0,-0.021436385235575884,-0.0098535847498409,0.021436385235575884,0.0098535847498409
700.0,-0.010232640551704074,-0.004564540450968459,0.010232640551704074,0.004564540450968459
702.0,-0.0015969024208781998,-0.0005594283470484456,0.0015969024208781998,0.0005594283470484456
704.0,0.0019389192882592154,0.001069103447918808,0.0019389192882592154,0.001069103447918808
706.0,0.0005072733495916902,0.000410325627207441,0.0005072733495916902,0.000410325627207441
708.0,-0.0037920893921646807,-0.00161603877536438,0.0037920893921646807,0.00161603877536438
710.0,-0.008643159459842925,-0.004034922616359158,0.008643159459842925,0.004034922616359158
712.0,-0.0129590785821303,-0.006411150971497767,0.0129590785821303,0.006411150971497767
714.0,-0.017136759432922897,-0.008895147357271765,0.017136759432922897,0.008895147357271765
716.0,-0.022251646092613687,-0.011826007011389778,0.022251646092613687,0.011826007011389778
718.0,-0.028700322666127678,-0.01516534561330367,0.028700322666127678,0.01516534561330367
720.0,-0.03515464083217257,-0.018129596748367706,0.03515464083217257,0.018129596748367706
722.0,-0.038725199337627796,-0.019366212982387908,0.038725199337627796,0.019366212982387908
724.0,-0.03644607532462091,-0.017666635536909885,0.03644607532462091,0.017666635536909885
726.0,-0.027007017831790884,-0.012691134727641192,0.027007017831790884,0.012691134727641192
728.0,-0.011719145469381012,-0.005290779087841203,0.011719145469381012,0.005290779087841203
730.0,0.00540862757426399,0.002563889085100998,0.00540862757426399,0.002563889085100998
732.0,0.01879192635706607,0.008361236107869804,0.01879192635706607,0.008361236107869804
734.0,0.02361050855924148,0.010102984645312176,0.02361050855924148,0.010102984645312176
736.0,0.01805286725961754,0.007226177494121279,0.01805286725961754,0.007226177494121279
738.0,0.0042472184238868905,0.0008910576805745075,0.0042472184238868905,0.0008910576805745075
740.0,-0.012593646500411322,-0.006508262919438261,0.012593646500411322,0.006508262919438261
742.0,-0.0264584472290153,-0.012389254990266798,0.0264584472290153,0.012389254990266798
744.0,-0.03275855485256143,-0.014910175911494846,0.03275855485256143,0.014910175911494846
